DMI,density_z4,R_IRI,DMI_z2_x,density_z2,L_IRI,index,DMI_id,Density_x_y,R_IRI_y,DMI_z2_y,Density_y_y,L_IRI_y,DMI_fwd,D0,D48,SCI,BDI,BCI,Latitude,Longitude,Patching_color_map,Patching_depth,Patching_color
894,0.0,24.1,894,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669792,-87.166054,Good_condition,1,green
900,0.0,30.2,900,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669773,-87.166061,Good_condition,1,green
906,0.0,5.7,906,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669758,-87.166069,Good_condition,1,green
912,0.0,29.1,912,0.961,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669743,-87.166069,Good_condition,1,green
918,0.0,10.4,918,0.95,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669727,-87.166077,Good_condition,1,green
924,0.0,28.8,924,0.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669712,-87.166084,Good_condition,1,green
930,0.419,23.6,930,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669697,-87.166084,Good_condition,1,green
936,2.067,12.4,936,0.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669682,-87.166092,Good_condition,1,green
942,2.096,27.2,942,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669666,-87.1661,Good_condition,1,green
948,0.085,15.1,948,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669651,-87.1661,Good_condition,1,green
954,0.889,21.7,954,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669636,-87.166107,Good_condition,1,green
960,1.003,18.4,960,0.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669617,-87.166115,Good_condition,1,green
966,0.046,15.9,966,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669601,-87.166122,Good_condition,1,green
972,1.322,13.5,972,0.0,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669586,-87.166122,Good_condition,1,green
978,0.0,35.2,978,0.0,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669571,-87.16613,Good_condition,1,green
984,0.0,29.1,984,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669556,-87.166138,Good_condition,1,green
990,0.0,24.1,990,0.0,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66954,-87.166138,Good_condition,1,green
996,0.954,8.8,996,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669525,-87.166145,Good_condition,1,green
1002,0.0,29.5,1002,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66951,-87.166153,Good_condition,1,green
1008,0.0,44.9,1008,0.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669495,-87.166161,Good_condition,1,green
1014,0.0,47.9,1014,0.0,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669476,-87.166161,Good_condition,1,green
1020,0.0,13.6,1020,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66946,-87.166168,Good_condition,1,green
1026,0.0,14.1,1026,0.864,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669445,-87.166176,Good_condition,1,green
1032,0.0,16.0,1032,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.66943,-87.166176,Good_condition,1,green
1038,0.0,30.9,1038,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669415,-87.166183,Good_condition,1,green
1044,0.0,23.9,1044,0.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669399,-87.166191,Good_condition,1,green
1050,0.0,19.7,1050,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669384,-87.166191,Good_condition,1,green
1056,0.0,270.7,1056,0.0,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669369,-87.166199,Surface_patching_warning,2,yellow
1062,0.0,54.9,1062,0.0,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669353,-87.166206,Good_condition,1,green
1068,0.0,9.8,1068,0.553,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669334,-87.166214,Good_condition,1,green
1074,0.0,17.0,1074,2.587,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669319,-87.166214,Good_condition,1,green
1080,0.0,24.1,1080,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669304,-87.166222,Surface_patching_warning,2,yellow
